iter	Passed	Remaining
0	132	132230
1	133	66392
2	133	44439
3	134	33459
4	135	26867
5	135	22474
6	136	19412
7	137	17071
8	138	15252
9	140	13868
10	141	12700
11	142	11714
12	143	10866
13	143	10141
14	144	9509
15	145	8954
16	146	8463
17	147	8024
18	147	7636
19	148	7290
20	149	6974
21	150	6684
22	151	6419
23	151	6176
24	152	5952
25	153	5747
26	154	5556
27	155	5383
28	156	5224
29	156	5071
30	157	4927
31	158	4800
32	159	4673
33	160	4552
34	160	4438
35	161	4331
36	162	4238
37	163	4144
38	164	4053
39	165	3966
40	166	3884
41	166	3804
42	167	3729
43	168	3656
44	169	3592
45	170	3526
46	170	3465
47	171	3404
48	172	3346
49	173	3292
50	174	3239
51	174	3190
52	175	3142
53	176	3098
54	177	3053
55	178	3008
56	179	2967
57	180	2925
58	180	2885
59	181	2845
60	182	2807
61	183	2771
62	183	2736
63	184	2703
64	185	2670
65	186	2637
66	187	2605
67	187	2575
68	188	2544
69	189	2515
70	190	2487
71	190	2461
72	191	2437
73	192	2411
74	193	2385
75	194	2360
76	194	2336
77	195	2312
78	196	2289
79	197	2266
80	197	2246
81	198	2226
82	199	2201
83	200	2182
84	200	2163
85	201	2143
86	202	2124
87	203	2105
88	203	2086
89	204	2068
90	205	2052
91	206	2035
92	207	2018
93	207	2002
94	208	1985
95	209	1970
96	209	1954
97	210	1938
98	211	1923
99	212	1910
100	213	1897
101	213	1883
102	214	1869
103	215	1855
104	216	1842
105	216	1828
106	217	1815
107	218	1803
108	219	1790
109	220	1780
110	220	1768
111	221	1756
112	222	1744
113	223	1733
114	223	1721
115	224	1710
116	225	1698
117	225	1687
118	226	1677
119	227	1667
120	228	1657
121	228	1646
122	229	1636
123	230	1626
124	230	1616
125	231	1606
126	232	1596
127	232	1587
128	233	1578
129	234	1569
130	235	1560
131	236	1552
132	236	1543
133	237	1535
134	238	1526
135	238	1518
136	239	1511
137	240	1503
138	241	1495
139	242	1488
140	243	1481
141	243	1472
142	244	1464
143	245	1457
144	245	1449
145	246	1441
146	247	1434
147	247	1427
148	248	1419
149	249	1414
150	250	1407
151	250	1400
152	251	1393
153	252	1386
154	253	1379
155	253	1373
156	254	1366
157	255	1359
158	255	1353
159	256	1346
160	257	1339
161	257	1333
162	258	1327
163	259	1321
164	260	1315
165	261	1312
166	262	1308
167	263	1306
168	274	1350
169	275	1345
170	276	1339
171	277	1333
172	277	1327
173	278	1323
174	279	1318
175	280	1313
